USAF,WBAN,STATION NAME,CTRY,STATE,LAT,LON,Geocoded_City,Geocoded_County
720578,176,STEPHENS COUNTY AIRPORT,US,TX,32.717,-98.892,,Stephens County
720578,99999,STEPHENS CO,US,TX,32.719,-98.891,,Stephens County
720579,99999,LAJITAS INTL ARPT,US,TX,29.278,-103.687,,Brewster County
720584,181,ZAPATA COUNTY AIRPORT,US,TX,26.967,-99.25,,Zapata County
720584,99999,ZAPATA,US,TX,26.967,-99.25,,Zapata County
720594,188,HOUSTON DUNN HELISTOP,US,TX,29.717,-95.383,Houston,Harris County
720594,99999,HOUSTON/DUNN HELISTOP,US,TX,29.717,-95.383,Houston,Harris County
720617,208,HOUSTON EXECUTIVE AIRPORT,US,TX,29.8,-95.9,,Waller County
720622,99999,BOWIE MUNI,US,TX,33.602,-97.776,,Montague County
720626,213,PAMPA MESA VISTA AIRPORT,US,TX,35.883,-101.033,,Roberts County
720626,99999,PAMPA M VISTA,US,TX,35.883,-101.033,,Roberts County
720637,223,HOUSTON SOUTHWEST AIRPORT,US,TX,29.5,-95.477,Arcola,Fort Bend County
720639,225,HORSESHOE BAY RESORT AIRPORT,US,TX,30.533,-98.367,Horseshoe Bay,Llano County
720647,229,LAMPASAS AIRPORT,US,TX,31.106,-98.196,Lampasas,Lampasas County
720648,230,AUSTIN EXECUTIVE AIRPORT,US,TX,30.395,-97.567,,Travis County
720659,239,OZONA MUNICIPAL AIRPORT,US,TX,30.735,-101.203,,Crockett County
720668,246,EAST BREAKS OIL PLATFORM,US,TX,27.817,-94.317,,
720668,99999,OIL PLATFORM/EAST BREAKS,US,TX,27.817,-94.317,,
720669,247,GUNNISON OIL PLATFORM,US,TX,27.3,-93.533,,
720669,99999,OIL PLATFORM/GUNNISON,US,TX,27.3,-93.533,,
720725,434,BRAZOS 133B,US,TX,28.058,-95.872,,
720725,99999,BRAZOS 133,US,TX,27.835,-96.011,,
720726,259,GALVESTON 424 OIL PLATFORM,US,TX,28.577,-94.977,,
720726,99999,GALVESTON 424,US,TX,28.577,-94.977,,
720727,260,HIGH ISLAND 376,US,TX,27.962,-93.671,,
720727,99999,HIGH ISLAND 376,US,TX,27.962,-93.671,,
720729,435,BRAZOS 451 OILP,US,TX,28.5,-95.716,,
720729,99999,BRAZOS 451,US,TX,28.5,-95.717,,
720731,261,MUSTANG ISLAND 31,US,TX,27.283,-96.733,,
720731,99999,MUSTANG ISLAND 31,US,TX,27.283,-96.733,,
720732,99999,MUSTANG ISLAND A85A,US,TX,27.733,-96.183,,
720733,99999,BOERNE STAGE FLD,US,TX,29.724,-98.695,,Bexar County
720742,270,FAITH RANCH AIRPORT,US,TX,28.209,-100.019,,Dimmit County
720742,99999,FAITH RANCH AIRPORT,US,TX,28.209,-100.019,,Dimmit County
720743,418,SOUTH PADRE ISLAND HELIPORT,US,TX,26.067,-97.15,,Cameron County
720743,99999,S PADRE ISLAND HELIPORT,US,TX,26.071,-97.157,,Cameron County
720771,276,COLEMAN MUNICIPAL AIRPORT,US,TX,31.841,-99.404,Coleman,Coleman County
720779,461,MEXIA LIMESTONE COUNTY AIRPORT,US,TX,31.641,-96.514,Mexia,Limestone County
720806,99999,PANOLA CO SHARPE FLD,US,TX,32.176,-94.299,,Panola County
720917,306,HIGH ISLAND 179 OIL PLATFORM,US,TX,29.183,-94.517,,
720919,308,NORTH PADRE ISLAND,US,TX,26.833,-96.933,,
720919,99999,N PADRE 975,US,TX,26.833,-96.933,,
720921,309,WEST CAMERON 368 A OIL PLATFORM,US,TX,28.917,-93.3,,
720921,99999,W CAMERON 368A,US,TX,28.917,-93.3,,
720926,313,BEAUMONT MUNICIPAL AIRPORT,US,TX,30.071,-94.216,Beaumont,Jefferson County
720943,431,HARRISON COUNTY AIRPORT,US,TX,32.521,-94.308,,Harrison County
720954,456,ALAMINOS CANYON,US,TX,26.933,-94.683,,
720965,13910,DYESS AIR FORCE BASE,US,TX,32.433,-99.85,Abilene,Taylor County
721032,99999,ANDREWS CO,US,TX,32.331,-102.53,,Andrews County
721034,351,CAMERON MUNICIPAL AIRPORT,US,TX,30.879,-96.971,Cameron,Milam County
721043,99999,ATHENS MUNI,US,TX,32.164,-95.828,Athens,Henderson County
721044,448,RALPH M HALL ROCKWALL MUNICIPAL AIRPORT,US,TX,32.931,-96.435,Rockwall,Rockwall County
721048,471,PRESIDIO LELY INTERNATIONAL AIRPORT,US,TX,29.634,-104.361,,Presidio County
722008,12995,MUSTANG BEACH AIRPORT,US,TX,27.812,-97.089,Port Aransas,Nueces County
722008,99999,MUSTANG BEACH,US,TX,27.833,-97.067,Port Aransas,Nueces County
722042,53978,WOOD COUNTY AIRPORT MINEOLA,US,TX,32.742,-95.496,,Wood County
722042,99999,WOOD CO,US,TX,32.741,-95.496,,Wood County
722094,53984,GRAND PRAIRIE MUNICIPAL AIRPORT,US,TX,32.699,-97.047,Grand Prairie,Tarrant County
722094,99999,GRAND PRAIRIE MUNI,US,TX,32.7,-97.05,Grand Prairie,Tarrant County
722107,3056,GAINES COUNTY AIRPORT,US,TX,32.675,-102.654,,Gaines County
722107,99999,GAINES CO,US,TX,32.674,-102.653,,Gaines County
722112,53982,FOX STEPHENS FIELD - GILMER MINICIPAL AIRPORT,US,TX,32.699,-94.949,Gilmer,Upshur County
722112,99999,FOX STEPHENS FLD,US,TX,32.698,-94.949,Gilmer,Upshur County
722113,53979,GIDDINGS-LEE COUNTY AIRPORT,US,TX,30.169,-96.98,,Lee County
722113,99999,GIDDINGS LEE CO,US,TX,30.167,-96.983,,Lee County
722122,3050,WINSTON FIELD AIRPORT,US,TX,32.693,-100.951,,Scurry County
722122,99999,WINSTON FLD,US,TX,32.7,-100.95,,Scurry County
722143,53975,LANCASTER AIRPORT,US,TX,32.579,-96.719,Lancaster,Dallas County
722143,99999,LANCASTER,US,TX,32.583,-96.717,Lancaster,Dallas County
722159,12980,MID VALLEY AIRPORT,US,TX,26.178,-97.973,Weslaco,Hidalgo County
722159,99999,MID VALLEY ARPT / WESLACO,US,TX,26.179,-97.974,Weslaco,Hidalgo County
722169,3058,PECOS MUNICIPAL AIRPORT,US,TX,31.383,-103.511,Town of Pecos,Reeves County
722169,99999,PECOS MUNICIPAL AIR,US,TX,31.383,-103.5,Town of Pecos,Reeves County
722174,23097,HALE COUNTY AIRPORT,US,TX,34.167,-101.717,,Hale County
722174,99999,HALE CO,US,TX,34.167,-101.717,,Hale County
722192,23033,AVENGER FIELD AIRPORT,US,TX,32.473,-100.466,,Nolan County
722192,99999,AVENGER FLD,US,TX,32.467,-100.467,,Nolan County
